date,city,precipitation
2020-01-01,NYC,0.0
2020-01-02,NYC,0.0
2020-01-03,NYC,0.13
2020-01-04,NYC,0.16
2020-01-05,NYC,0.0
2020-01-06,NYC,0.03
2020-01-07,NYC,0.03
2020-01-08,NYC,0.0
2020-01-09,NYC,0.0
2020-01-10,NYC,0.0
2020-01-11,NYC,0.0
2020-01-12,NYC,0.03
2020-01-13,NYC,0.0
2020-01-14,NYC,0.03
2020-01-15,NYC,0.0
2020-01-16,NYC,0.03
2020-01-17,NYC,0.0
2020-01-18,NYC,0.58
2020-01-19,NYC,0.0
2020-01-20,NYC,0.0
2020-01-21,NYC,0.0
2020-01-22,NYC,0.0
2020-01-23,NYC,0.0
2020-01-24,NYC,0.0
2020-01-25,NYC,0.89
2020-01-26,NYC,0.0
2020-01-27,NYC,0.0
2020-01-28,NYC,0.0
2020-01-29,NYC,0.0
2020-01-30,NYC,0.0
2020-01-31,NYC,0.02
2020-02-01,NYC,0.04
2020-02-02,NYC,0.01
2020-02-03,NYC,0.0
2020-02-04,NYC,0.03
2020-02-05,NYC,0.0
2020-02-06,NYC,0.7
2020-02-07,NYC,0.28
2020-02-08,NYC,0.0
2020-02-09,NYC,0.0
2020-02-10,NYC,0.38
2020-02-11,NYC,0.33
2020-02-12,NYC,0.12
2020-02-13,NYC,0.31
2020-02-14,NYC,0.0
2020-02-15,NYC,0.0
2020-02-16,NYC,0.0
2020-02-17,NYC,0.0
2020-02-18,NYC,0.0
2020-02-19,NYC,0.0
2020-02-20,NYC,0.0
2020-02-21,NYC,0.0
2020-02-22,NYC,0.0
2020-02-23,NYC,0.0
2020-02-24,NYC,0.0
2020-02-25,NYC,0.19
2020-02-26,NYC,0.02
2020-02-27,NYC,1.0
2020-02-28,NYC,0.0
2020-02-29,NYC,0.0
2020-03-01,NYC,0.0
2020-03-02,NYC,0.0
2020-03-03,NYC,0.28
2020-03-04,NYC,0.0
2020-03-05,NYC,0.0
2020-03-06,NYC,0.07
2020-03-07,NYC,0.0
2020-03-08,NYC,0.0
2020-03-09,NYC,0.0
2020-03-10,NYC,0.0
2020-03-11,NYC,0.0
2020-03-12,NYC,0.05
2020-03-13,NYC,0.3
2020-03-14,NYC,0.0
2020-03-15,NYC,0.0
2020-03-16,NYC,0.0
2020-03-17,NYC,0.18
2020-03-18,NYC,0.01
2020-03-19,NYC,1.07
2020-03-20,NYC,0.0
2020-03-21,NYC,0.0
2020-03-22,NYC,0.0
2020-03-23,NYC,1.28
2020-03-24,NYC,0.0
2020-03-25,NYC,0.0
2020-03-26,NYC,0.0
2020-03-27,NYC,0.0
2020-03-28,NYC,0.37
2020-03-29,NYC,0.09
2020-03-30,NYC,0.04
2020-03-31,NYC,0.02
2020-04-01,NYC,0.0
2020-04-02,NYC,0.0
2020-04-03,NYC,0.01
2020-04-04,NYC,0.0
2020-04-05,NYC,0.0
2020-04-06,NYC,0.06
2020-04-07,NYC,0.0
2020-04-08,NYC,0.18
2020-04-09,NYC,0.13
2020-04-10,NYC,0.0
2020-04-11,NYC,0.0
2020-04-12,NYC,0.0
2020-04-13,NYC,1.14
2020-04-14,NYC,0.0
2020-04-15,NYC,0.0
2020-04-16,NYC,0.0
2020-04-17,NYC,0.04
2020-04-18,NYC,0.09
2020-04-19,NYC,0.0
2020-04-20,NYC,0.0
2020-04-21,NYC,0.36
2020-04-22,NYC,0.0
2020-04-23,NYC,0.13
2020-04-24,NYC,0.6
2020-04-25,NYC,0.0
2020-04-26,NYC,0.17
2020-04-27,NYC,0.0
2020-04-28,NYC,0.0
2020-04-29,NYC,0.01
2020-04-30,NYC,0.37
2020-05-01,NYC,0.22
2020-05-02,NYC,0.0
2020-05-03,NYC,0.11
2020-05-04,NYC,0.01
2020-05-05,NYC,0.0
2020-05-06,NYC,0.02
2020-05-07,NYC,0.0
2020-05-08,NYC,0.32
2020-05-09,NYC,0.03
2020-05-10,NYC,0.0
2020-05-11,NYC,0.03
2020-05-12,NYC,0.0
2020-05-13,NYC,0.0
2020-05-14,NYC,0.0
2020-05-15,NYC,0.03
2020-05-16,NYC,0.02
2020-05-17,NYC,0.0
2020-05-18,NYC,0.0
2020-05-19,NYC,0.0
2020-05-20,NYC,0.0
2020-05-21,NYC,0.0
2020-05-22,NYC,0.01
2020-05-23,NYC,0.52
2020-05-24,NYC,0.0
2020-05-25,NYC,0.0
2020-05-26,NYC,0.0
2020-05-27,NYC,0.0
2020-05-28,NYC,0.01
2020-05-29,NYC,0.0
2020-05-30,NYC,0.0
2020-05-31,NYC,0.0
2020-06-01,NYC,0.0
2020-06-02,NYC,0.0
2020-06-03,NYC,0.55
2020-06-04,NYC,0.1
2020-06-05,NYC,0.79
2020-06-06,NYC,0.16
2020-06-07,NYC,0.0
2020-06-08,NYC,0.0
2020-06-09,NYC,0.0
2020-06-10,NYC,0.0
2020-06-11,NYC,0.77
2020-06-12,NYC,0.0
2020-06-13,NYC,0.0
2020-06-14,NYC,0.0
2020-06-15,NYC,0.0
2020-06-16,NYC,0.0
